Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C110, C111, C112, C113, C114, C115, C116, C117, C118, C119, C12, C120, C121, C122, C123, C124, C125, C126, C127, C128, C129, C13, C130, C131, C132, C133, C134, C135, C136, C137, C138, C139, C14, C140, C141, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C41, C43, C44, C45, C46, C48, C49, C5, C50, C51, C53, C54, C55, C56, C58, C59, C6, C60, C61, C63, C64, C65, C66, C68, C69, C7, C70, C71, C73, C74, C75, C76, C78, C79, C8, C80, C81, C83, C84, C85, C86, C88, C89, C9, C90, C91, C98",0402,114,0.1uF,C1525
"C100, C103, C104, C108, C109, C92, C96, C97",1206,8,10uF,C89632
"C101, C102, C105, C106, C107, C93, C94, C95, C99",0402,9,100nF,C307331
"C42, C47, C52, C57, C62, C67, C72, C77, C82, C87",1210,10,100uF,C7432790
"D1, D2, D3, D4",SOT-23,4,BAS40-04,C7502688
J1,RJ45_Cetus_J1B1211CCD_Horizontal,1,Cetus RJ45 Magjack,C910371
"J10, J11, J12, J13, J14, J15, J16, J17, J18, J19, J20, J21, J22, J23, J24, J5, J6, J7, J8, J9",PinSocket_1x05_P2.54mm_Vertical,20,Conn_01x05,C50950
"J100, J101",PinSocket_1x24_P2.54mm_Vertical,2,PinSocket_1x24_P2.54mm_Vertical,
J102,PinSocket_2x03_P2.00mm_Vertical,1,PinSocket_2x03_P2.00mm_Vertical,C18078170
"J2, J30",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02,C124375
"J25, J26",DC-053D-20A,2,Barrel_Jack,C707274
"J27, J28, J29, J3, J4",BNC,5,Conn_Coaxial,C2837587
"R1, R10, R100, R101, R102, R103, R104, R105, R106, R107, R108, R109, R11, R110, R111, R112, R113, R114, R115, R116, R117, R118, R119, R12, R120, R121, R122, R123, R124, R125, R126, R127, R128, R129, R13, R130, R131, R132, R133, R134, R135, R136, R137, R138, R139, R14, R140, R141, R142, R143, R144, R145, R146, R147, R148, R149, R15, R150, R151, R152, R153, R154, R155, R156, R157, R158, R159, R16, R160, R161, R162, R163, R164, R165, R166, R167, R168, R169, R17, R170, R171, R172, R173, R174, R175, R176, R177, R18, R186, R188, R189, R19, R191, R192, R194, R195, R197, R198, R2, R20, R200, R201, R203, R204, R206, R207, R209, R21, R210, R212, R213, R215, R22, R23, R24, R25, R28, R29, R3, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R4, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R5, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R6, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R7, R70, R71, R72, R73, R74, R75, R76, R77, R78, R79, R8, R80, R81, R82, R83, R84, R85, R86, R87, R88, R89, R9, R90, R91, R92, R93, R94, R95, R96, R97, R98, R99",0402,195,33,C25105
"R178, R179",0402,2,20k,C705630 
"R180, R181, R182, R183, R184, R185",0402,6,10k,C190095 
"R187, R190, R193, R196, R199, R202, R205, R208, R211, R214",0402,10,5k,C5948099
"R216, R26, R27",0402,3,1k,C11702
SW1,slide_switch,1,SW_SPDT,C19189125
"U10, U101, U105, U109, U11, U113, U117, U12, U121, U125, U13, U14, U15, U16, U17, U18, U19, U20, U21, U22, U23, U24, U25, U26, U27, U28, U29, U30, U31, U32, U33, U34, U35, U36, U37, U38, U39, U4, U40, U41, U42, U43, U44, U45, U46, U47, U48, U49, U5, U50, U51, U52, U53, U54, U55, U56, U57, U58, U59, U6, U60, U61, U62, U63, U64, U65, U66, U67, U68, U69, U7, U70, U71, U72, U73, U74, U75, U76, U77, U78, U79, U8, U80, U81, U9, U90, U93, U97",SOT-23-6,88,74LVC2G17,C7394037
"U100, U104, U108, U112, U116, U120, U124, U88, U92, U96",SOT-23-5,10,74LVC1G125,C7394017
"U102, U103, U106, U107, U89, U91, U94, U95, U98, U99",SOIC-14_3.9x8.7mm_P1.27mm,10,SN74HCS08,C2868021
"U2, U3",SOT-23-6,2,SN74LVC1T45DBV,C7843
"U83, U86, U87",SOIC-8_3.9x4.9mm_P1.27mm,3,OPA2277,C24460
U84,SOIC-8_3.9x4.9mm_P1.27mm,1,REF102AU,C81460
U85,SOT-23-6,1,MCP4725xxx-xCH,C144198
