Designator,Mid X,Mid Y,Rotation,Layer
C1,289.3,-230.35,270.0,top
C10,255.87,-236.91,90.0,top
C100,290.63,-100.02,90.0,top
C101,284.08,-149.85,180.0,top
C102,293.62,-146.0,0.0,top
C103,285.075,-151.9,180.0,top
C104,292.725,-143.9,0.0,top
C105,292.755,-67.645,90.0,top
C106,296.555,-77.185,270.0,top
C107,294.005,-77.185,270.0,top
C108,290.505,-68.34,90.0,top
C109,298.605,-76.415,270.0,top
C11,259.595,-236.935,90.0,top
C110,151.72,-271.63,0.0,top
C111,147.04,-282.4,0.0,top
C112,128.63,-271.72,0.0,top
C113,123.74,-282.36,0.0,top
C114,174.7625,-271.745,0.0,top
C115,170.0025,-282.345,0.0,top
C116,246.89,-89.39,90.0,top
C117,257.53,-94.13,90.0,top
C118,274.01,-104.19,0.0,top
C119,269.06,-114.57,0.0,top
C12,263.29,-236.945,90.0,top
C120,286.42,-202.955,0.0,top
C121,281.62,-213.325,0.0,top
C122,286.41,-183.29,0.0,top
C123,281.64,-193.69,0.0,top
C124,286.4275,-163.68,0.0,top
C125,281.655,-174.04,0.0,top
C126,220.67,-271.69,0.0,top
C127,215.62,-281.93,0.0,top
C128,197.835,-271.72,0.0,top
C129,193.095,-282.1,0.0,top
C13,267.005,-236.9425,90.0,top
C130,153.75,-281.36,0.0,top
C131,130.64,-281.28,0.0,top
C132,176.7425,-281.315,0.0,top
C133,256.62,-87.44,90.0,top
C134,275.98,-113.64,0.0,top
C135,288.4,-212.385,0.0,top
C136,288.34,-192.76,0.0,top
C137,288.3875,-173.105,0.0,top
C138,222.64,-281.06,0.0,top
C139,199.795,-281.12,0.0,top
C14,270.69,-236.9525,90.0,top
C140,290.8625,-190.675,90.0,top
C141,290.855,-167.75,90.0,top
C15,274.395,-236.9275,90.0,top
C16,305.23,-239.76,180.0,top
C17,297.095,-239.65,180.0,top
C18,288.6425,-239.615,180.0,top
C19,292.96,-271.135,270.0,top
C2,295.21,-189.53,90.0,top
C20,289.29,-271.155,270.0,top
C21,285.625,-271.1125,270.0,top
C22,281.925,-271.1425,270.0,top
C23,278.29,-271.1325,270.0,top
C24,280.95,-226.005,90.0,top
C25,280.845,-234.2725,90.0,top
C26,263.6,-271.11,270.0,top
C27,259.91,-271.12,270.0,top
C28,256.27,-271.11,270.0,top
C29,252.56,-271.08,270.0,top
C3,295.11,-166.65,90.0,top
C30,252.23,-236.95,90.0,top
C31,248.495,-236.9525,90.0,top
C32,242.87,-245.73,180.0,top
C33,304.095,-271.0825,270.0,top
C34,300.38,-271.1025,270.0,top
C35,296.68,-271.1025,270.0,top
C36,242.83,-256.945,180.0,top
C37,242.915,-253.195,180.0,top
C38,242.86,-249.445,180.0,top
C39,242.87,-268.03,180.0,top
C4,270.94,-271.115,270.0,top
C40,242.87,-264.35,180.0,top
C41,242.8475,-260.63,180.0,top
C42,134.0417,-245.7142,72.0,top
C43,140.5645,-246.6086,72.0,top
C44,150.1632,-252.1458,342.0,top
C45,167.5165,-255.2397,72.0,top
C46,172.3697,-256.7745,72.0,top
C47,102.4798,-207.0232,36.0,top
C48,107.2312,-211.5809,36.0,top
C49,111.742,-221.7025,306.0,top
C5,274.615,-271.13,270.0,top
C50,123.9626,-234.4055,36.0,top
C51,126.9868,-238.4999,36.0,top
C52,99.6877,-157.17,0.0,top
C53,100.8527,-163.65,0.0,top
C54,98.5527,-174.49,270.0,top
C55,100.9727,-191.95,0.0,top
C56,101.0127,-197.04,0.0,top
C57,126.7318,-115.1967,324.0,top
C58,123.8655,-121.1239,324.0,top
C59,115.6332,-128.5418,234.0,top
C6,267.29,-271.08,270.0,top
C60,107.3282,-144.0896,324.0,top
C61,104.3688,-148.231,324.0,top
C62,173.2823,-97.1358,288.0,top
C63,167.4794,-100.2462,288.0,top
C64,156.4592,-101.4085,198.0,top
C65,140.6016,-109.1055,288.0,top
C66,135.7731,-110.7164,288.0,top
C67,221.5583,-109.8858,252.0,top
C68,215.0355,-108.9914,252.0,top
C69,205.4368,-103.4542,162.0,top
C7,263.47,-225.425,90.0,top
C70,188.0835,-100.3603,252.0,top
C71,183.2303,-98.8254,252.0,top
C72,253.1202,-148.5768,216.0,top
C73,248.3688,-144.0191,216.0,top
C74,243.858,-133.8975,126.0,top
C75,231.6374,-121.1945,216.0,top
C76,228.6132,-117.1001,216.0,top
C77,255.9123,-198.43,180.0,top
C78,254.7473,-191.95,180.0,top
C79,257.0473,-181.11,90.0,top
C8,267.03,-225.515,90.0,top
C80,254.6273,-163.65,180.0,top
C81,254.5873,-158.56,180.0,top
C82,228.8682,-240.4033,144.0,top
C83,231.7345,-234.4761,144.0,top
C84,239.9668,-227.0582,54.0,top
C85,248.2718,-211.5104,144.0,top
C86,251.2312,-207.369,144.0,top
C87,182.3177,-258.4642,108.0,top
C88,188.1206,-255.3538,108.0,top
C89,199.1408,-254.1915,18.0,top
C9,270.54,-225.515,90.0,top
C90,214.9984,-246.4945,108.0,top
C91,219.8269,-244.8836,108.0,top
C92,290.67,-91.36,270.0,top
C93,292.72,-89.805,270.0,top
C94,283.64,-126.9425,180.0,top
C95,293.29,-123.1125,0.0,top
C96,284.545,-129.4225,180.0,top
C97,292.485,-120.7625,0.0,top
C98,293.09,-99.51,90.0,top
C99,291.47,-80.315,90.0,top
D1,282.99,-121.4425,180.0,top
D2,283.35,-144.3125,180.0,top
D3,287.53,-119.9875,180.0,top
D4,287.71,-142.62,180.0,top
J1,299.085,-226.695,90.0,top
J10,104.2827,-193.2,90.0,top
J100,280.65999999999997,-246.775,180.0,top
J101,280.685,-261.975,180.0,top
J102,295.925,-257.575,270.0,top
J11,127.37515010933724,-122.12870574363949,54.0,top
J12,109.27135010933723,-147.04650574363947,54.0,top
J13,169.72813258820364,-103.12200538036822,18.0,top
J14,140.43563258820365,-112.63970538036821,18.0,top
J15,215.16433289722062,-112.63979366857527,342.0,top
J16,185.8718328972206,-103.12199366857527,342.0,top
J17,246.32865091835424,-147.04649366857527,306.0,top
J18,228.22485091835424,-122.12879366857527,306.0,top
J19,251.3173,-193.2,270.0,top
J2,308.49,-281.39,90.0,top
J20,251.3173,-162.4,270.0,top
J21,228.22484989066277,-233.47129425636052,234.0,top
J22,246.32864989066275,-208.55349425636052,234.0,top
J23,185.87186741179636,-252.4779946196318,198.0,top
J24,215.16436741179635,-242.9602946196318,198.0,top
J25,234.52,-72.193,0.0,top
J26,96.0,-72.283,0.0,top
J27,302.60925,-101.54,90.0,top
J28,302.60925,-124.415,90.0,top
J29,302.60925,-147.29,90.0,top
J3,302.60925,-193.04,90.0,top
J30,252.295,-282.65,180.0,top
J4,302.60925,-170.165,90.0,top
J5,140.43566710277938,-242.96020633142473,162.0,top
J6,169.7281671027794,-252.47800633142475,162.0,top
J7,109.27134908164575,-208.55350633142476,126.0,top
J8,127.37514908164576,-233.47120633142475,126.0,top
J9,104.2827,-162.4,90.0,top
R1,307.35,-244.075,270.0,top
R10,281.95,-244.075,270.0,top
R100,141.5315,-246.9333,72.0,top
R101,149.8324,-253.1318,342.0,top
R102,166.5243,-254.9278,72.0,top
R103,168.4963,-255.5896,72.0,top
R104,171.384,-256.4753,72.0,top
R105,173.3401,-257.1214,72.0,top
R106,112.5775,-221.0832,306.0,top
R107,106.6195,-210.7645,36.0,top
R108,107.8226,-212.412,36.0,top
R109,110.8948,-222.3058,306.0,top
R11,279.42,-244.075,270.0,top
R110,123.3432,-233.57,36.0,top
R111,124.5496,-235.2646,36.0,top
R112,126.3652,-237.6784,36.0,top
R113,127.5679,-239.3508,36.0,top
R114,99.5927,-174.48,270.0,top
R115,100.8377,-162.63,0.0,top
R116,100.8427,-164.67,0.0,top
R117,97.5127,-174.48,270.0,top
R118,100.9627,-190.91,0.0,top
R119,100.9427,-192.99,0.0,top
R12,271.8,-249.5,90.0,top
R120,100.9927,-196.01,0.0,top
R121,100.9827,-198.07,0.0,top
R122,116.4804,-129.145,234.0,top
R123,124.4529,-120.2899,324.0,top
R124,123.2579,-121.9432,324.0,top
R125,114.7977,-127.9224,234.0,top
R126,107.9315,-143.2424,324.0,top
R127,106.6927,-144.9134,324.0,top
R128,104.958,-147.386,324.0,top
R129,103.7391,-149.0467,324.0,top
R13,269.24,-249.5,90.0,top
R130,156.7901,-102.3945,198.0,top
R131,168.4449,-99.9167,288.0,top
R132,166.5063,-100.5519,288.0,top
R133,156.1474,-100.4163,198.0,top
R134,141.5876,-108.7746,288.0,top
R135,139.6032,-109.3983,288.0,top
R136,136.7465,-110.3791,288.0,top
R137,134.7842,-111.0062,288.0,top
R138,205.1249,-104.4464,162.0,top
R139,216.0102,-109.2923,252.0,top
R14,266.72,-244.075,270.0,top
R140,214.0685,-108.6667,252.0,top
R141,205.7676,-102.4682,162.0,top
R142,189.0757,-100.6722,252.0,top
R143,187.1037,-100.0104,252.0,top
R144,184.216,-99.1247,252.0,top
R145,182.2599,-98.4786,252.0,top
R146,243.0225,-134.5168,126.0,top
R147,248.9805,-144.8355,216.0,top
R148,247.7774,-143.188,216.0,top
R149,244.7052,-133.2942,126.0,top
R15,264.18,-244.075,270.0,top
R150,232.2568,-122.03,216.0,top
R151,231.0504,-120.3354,216.0,top
R152,229.2348,-117.9216,216.0,top
R153,228.0321,-116.2491,216.0,top
R154,256.0073,-181.12,90.0,top
R155,254.7623,-192.97,180.0,top
R156,254.7573,-190.93,180.0,top
R157,258.0873,-181.12,90.0,top
R158,254.6373,-164.69,180.0,top
R159,254.6573,-162.61,180.0,top
R16,261.675,-249.5,90.0,top
R160,254.6073,-159.59,180.0,top
R161,254.6173,-157.53,180.0,top
R162,239.1196,-226.455,54.0,top
R163,231.1471,-235.3101,144.0,top
R164,232.3421,-233.6568,144.0,top
R165,240.8023,-227.6776,54.0,top
R166,247.6685,-212.3576,144.0,top
R167,248.9073,-210.6866,144.0,top
R168,250.642,-208.214,144.0,top
R169,251.8609,-206.5533,144.0,top
R17,259.05,-249.5,90.0,top
R170,198.8099,-253.2055,18.0,top
R171,187.1551,-255.6833,108.0,top
R172,189.0937,-255.0481,108.0,top
R173,199.4526,-255.1837,18.0,top
R174,214.0124,-246.8254,108.0,top
R175,215.9968,-246.2017,108.0,top
R176,218.8535,-245.2209,108.0,top
R177,220.8158,-244.5938,108.0,top
R178,293.8,-128.65,90.0,top
R179,294.1,-151.51,90.0,top
R18,256.55,-244.075,270.0,top
R180,293.3,-126.9325,180.0,top
R181,293.59,-149.9,180.0,top
R182,293.29,-124.45,180.0,top
R183,293.59,-147.3,180.0,top
R184,293.3,-125.69,0.0,top
R185,293.6,-148.52,0.0,top
R186,153.75,-283.24,180.0,top
R187,151.78,-279.26,180.0,top
R188,147.02,-281.37,180.0,top
R189,130.64,-283.2,180.0,top
R19,254.05,-244.075,270.0,top
R190,128.66,-279.35,180.0,top
R191,123.74,-281.3,180.0,top
R192,176.7625,-283.285,180.0,top
R193,174.8225,-279.465,180.0,top
R194,169.9725,-281.315,180.0,top
R195,258.6,-87.41,270.0,top
R196,254.52,-89.36,270.0,top
R197,256.51,-94.15,270.0,top
R198,276.04,-115.6,180.0,top
R199,274.05,-111.81,180.0,top
R2,302.25,-244.075,270.0,top
R20,250.925,-244.55,0.0,top
R200,269.06,-113.54,180.0,top
R201,288.38,-214.275,180.0,top
R202,286.46,-210.595,180.0,top
R203,281.61,-212.305,180.0,top
R204,288.39,-194.65,180.0,top
R205,286.43,-190.92,180.0,top
R206,281.62,-192.66,180.0,top
R207,288.3775,-175.005,180.0,top
R208,286.4575,-171.29,180.0,top
R209,281.625,-173.03,180.0,top
R21,303.03,-259.66,180.0,top
R210,222.7,-282.95,180.0,top
R211,220.74,-279.31,180.0,top
R212,215.61,-280.89,180.0,top
R213,199.815,-283.02,180.0,top
R214,197.865,-279.35,180.0,top
R215,193.085,-281.07,180.0,top
R216,249.13,-268.98,180.0,top
R22,300.27,-259.66,180.0,top
R23,297.2,-264.325,180.0,top
R24,277.41,-259.675,180.0,top
R25,250.85,-264.275,0.0,top
R26,291.04,-104.27,0.0,top
R27,291.03,-103.15,0.0,top
R28,271.97,-271.115,270.0,top
R29,269.92,-271.105,270.0,top
R3,299.775,-244.075,270.0,top
R30,275.645,-271.11,270.0,top
R31,273.575,-271.1,270.0,top
R32,268.32,-271.1,270.0,top
R33,262.45,-225.455,90.0,top
R34,264.5,-225.445,90.0,top
R35,266.01,-225.495,90.0,top
R36,268.05,-225.495,90.0,top
R37,269.52,-225.525,90.0,top
R38,254.85,-236.94,90.0,top
R39,256.91,-236.93,90.0,top
R4,297.125,-249.5,90.0,top
R40,258.575,-236.965,90.0,top
R41,260.635,-236.955,90.0,top
R42,262.27,-236.965,90.0,top
R43,265.975,-236.9725,90.0,top
R44,268.035,-236.9625,90.0,top
R45,269.67,-236.9725,90.0,top
R46,271.72,-236.9625,90.0,top
R47,273.375,-236.9475,90.0,top
R48,305.25,-240.78,180.0,top
R49,305.27,-238.72,180.0,top
R5,294.59375,-249.5,90.0,top
R50,297.125,-240.67,180.0,top
R51,297.115,-238.61,180.0,top
R52,288.6725,-240.635,180.0,top
R53,288.6425,-238.565,180.0,top
R54,293.97,-271.125,270.0,top
R55,291.94,-271.125,270.0,top
R56,290.32,-271.125,270.0,top
R57,288.24,-271.115,270.0,top
R58,286.645,-271.0925,270.0,top
R59,284.585,-271.1125,270.0,top
R6,292.0625,-249.5,90.0,top
R60,282.945,-271.1225,270.0,top
R61,280.905,-271.1225,270.0,top
R62,279.3,-271.1225,270.0,top
R63,277.27,-271.1125,270.0,top
R64,279.92,-226.025,90.0,top
R65,281.98,-226.005,90.0,top
R66,279.815,-234.2825,90.0,top
R67,281.875,-234.2825,90.0,top
R68,264.62,-271.09,270.0,top
R69,262.58,-271.09,270.0,top
R7,289.53125,-249.5,90.0,top
R70,260.94,-271.09,270.0,top
R71,258.89,-271.1,270.0,top
R72,257.29,-271.1,270.0,top
R73,255.23,-271.08,270.0,top
R74,253.6,-271.07,270.0,top
R75,251.52,-271.07,270.0,top
R76,251.19,-236.97,90.0,top
R77,253.25,-236.96,90.0,top
R78,247.475,-236.9725,90.0,top
R79,249.555,-236.9725,90.0,top
R8,287.0,-249.5,90.0,top
R80,242.88,-246.77,180.0,top
R81,242.86,-244.7,180.0,top
R82,305.125,-271.0725,270.0,top
R83,303.085,-271.0825,270.0,top
R84,301.4,-271.0925,270.0,top
R85,299.34,-271.0925,270.0,top
R86,297.7,-271.0825,270.0,top
R87,295.66,-271.1025,270.0,top
R88,242.85,-257.955,180.0,top
R89,242.84,-255.925,180.0,top
R9,284.5,-244.075,270.0,top
R90,242.915,-254.225,180.0,top
R91,242.915,-252.175,180.0,top
R92,242.88,-250.495,180.0,top
R93,242.88,-269.06,180.0,top
R94,242.89,-266.99,180.0,top
R95,242.9,-265.36,180.0,top
R96,242.89,-263.3,180.0,top
R97,242.8775,-261.65,180.0,top
R98,150.4751,-251.1536,342.0,top
R99,139.5898,-246.3077,72.0,top
SW1,255.6498,-71.3,180.0,top
U10,255.89,-240.0375,270.0,top
U100,257.5675,-90.52,270.0,top
U101,257.54,-97.2375,270.0,top
U102,281.69,-187.11,270.0,top
U103,281.7,-167.485,270.0,top
U104,272.93,-114.58,180.0,top
U105,266.0025,-114.57,180.0,top
U106,215.975,-275.5,270.0,top
U107,193.125,-275.53,270.0,top
U108,285.3125,-213.325,180.0,top
U109,278.5125,-213.325,180.0,top
U11,259.6,-240.0525,270.0,top
U112,285.2925,-193.71,180.0,top
U113,278.5325,-193.69,180.0,top
U116,285.3,-174.05,180.0,top
U117,278.5375,-174.05,180.0,top
U12,263.3,-240.0625,270.0,top
U120,219.5925,-282.005,180.0,top
U121,212.5225,-281.92,180.0,top
U124,196.7275,-282.075,180.0,top
U125,189.9975,-282.1,180.0,top
U13,267.0,-240.0625,270.0,top
U14,270.7,-240.0625,270.0,top
U15,274.4,-240.0375,270.0,top
U16,308.3625,-239.75,0.0,top
U17,300.2125,-239.65,0.0,top
U18,291.7625,-239.6,0.0,top
U19,292.965,-268.015,90.0,top
U2,293.5025,-192.1,180.0,top
U20,289.29,-268.0125,90.0,top
U21,285.61,-268.0125,90.0,top
U22,281.925,-268.0125,90.0,top
U23,278.275,-268.0125,90.0,top
U24,280.95,-229.1125,270.0,top
U25,280.85,-237.3625,270.0,top
U26,263.6,-268.0175,90.0,top
U27,259.915,-268.03,90.0,top
U28,256.265,-267.99,90.0,top
U29,252.565,-267.98,90.0,top
U3,293.4825,-169.2,180.0,top
U30,252.215,-240.05,270.0,top
U31,248.5,-240.0625,270.0,top
U32,245.97,-245.735,0.0,top
U33,304.095,-268.005,90.0,top
U34,300.375,-268.0125,90.0,top
U35,296.675,-268.0125,90.0,top
U36,245.9825,-256.93,0.0,top
U37,245.9775,-253.195,0.0,top
